Luxembourg,lat,log
Pop-up station - Belval Plaza Shopping Centre 49.50051750204115,49.5003573,5.9432824
49 Bd Royal,49.6116649,6.1236598
"131, Rue de Rollingergrund,",49.616997,6.1105032
"13A, rue Astrid,L-1143 Luxembourg-Belair",49.607622,6.1037641
"29 Rue Evy Friedrich,1552 Luxembourg-Gasperich",49.5917547,6.1130537
"239 Route D'arlon,8011 Strassen,",49.6204792,6.0661042
3 Beim Schlass,49.6113313,6.0466454
27 Rte d'Arlon,49.6443491,5.9889224
46 Grand-Rue,49.461561,6.0260761
40 Rue Emile Mark,49.522722,5.8906483
74 Av. Dr Gaasch,49.5470465,5.8383147
